locNS,locWE,clus,x,build_num
3,0,1,1902.903,1253
4,0,1,1900.814,1031
6,0,1,1905.239,855
7,0,1,1905.791,460
8,0,1,1905.823,2585
9,0,1,1906.209,430
1,1,1,1902.2,145
2,1,1,1901.418,1009
4,1,1,1901.454,1964
5,1,1,1903.706,1187
6,1,1,1905.007,898
7,1,1,1904.893,535
8,1,1,1903.186,2018
9,1,1,1905.234,334
10,1,1,1904.637,204
11,1,1,1904.222,784
12,1,1,1906.26,820
3,0,2,1922.385,590
4,0,2,1923.316,399
6,0,2,1925.446,1409
7,0,2,1924.328,463
8,0,2,1924.053,2015
9,0,2,1923.585,241
1,1,2,1925.934,121
2,1,2,1919.959,790
4,1,2,1924.927,615
5,1,2,1924.61,748
6,1,2,1924.551,769
7,1,2,1925.164,207
8,1,2,1924.591,867
9,1,2,1924.121,340
10,1,2,1925.728,103
11,1,2,1923.404,668
12,1,2,1924.667,996
3,0,3,1987.598,254
4,0,3,1986.105,76
6,0,3,1975.844,527
7,0,3,1973.123,163
8,0,3,1971.936,597
9,0,3,1983.41,105
1,1,3,1978.684,98
2,1,3,1987.369,1
4,1,3,1975.497,169
5,1,3,1985.432,185
6,1,3,1979.829,234
7,1,3,1979.449,89
8,1,3,1976.817,131
9,1,3,1980.809,47
10,1,3,1978.607,28
11,1,3,1979.5,44
12,1,3,1978.822,129
